"titleInfo.title","subject.topic","language.languageTerm"
"[*] Mosque of al-Qadi Yehya [*] Qadi Yahya Zayn al-Din Mosque [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Mosque of al Qadi Yahya [*] al-Qadi Yahya Mosque","Islamic architecture","[*] No linguistic content [*] zxx"
"[*] Mosque of al-Qadi Yehya [*] Qadi Yahya Zayn al-Din Mosque [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Mosque of al Qadi Yahya [*] al-Qadi Yahya Mosque","Islamic architecture","[*] No linguistic content [*] zxx"
"[*] Mosque of al-Qadi Yehya [*] Mosque and Madrasa of al-Qadi Yahya [*] Archaeological studies and memories in honour of Nabil Qadi 'Abu Salim' [*] Mosque of al Qadi Yahya [*] Modesty and patience [*] Tawāḍuʻ wa-al-ṣabr, dirāsāt āthārīyah wa-mudhakkirāt takrīman li-dhikrá Nabīl al-Qāḍī [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah","[*] Antiquities [*] Excavations (Archaeology) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
"[*] Mosque of al-Qadi Yehya [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Qadi Yahya Zayn al-Din Mosque [*] Mosque of al Qadi Yahya [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] al-Qadi Yahya Mosque","[*] Antiquities [*] Excavations (Archaeology) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
"[*] Mosque of al-Qadi Yehya [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Qadi Yahya Zayn al-Din Mosque [*] Mosque of al Qadi Yahya [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] al-Qadi Yahya Mosque","[*] Antiquities [*] Excavations (Archaeology) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
"[*] Mosque of al-Qadi Yehya [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Qadi Yahya Zayn al-Din Mosque [*] Mosque of al Qadi Yahya [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] al-Qadi Yahya Mosque","[*] Antiquities [*] Excavations (Archaeology) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
"[*] Mosque of al-Qadi Yehya [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Qadi Yahya Zayn al-Din Mosque [*] Mosque of al Qadi Yahya [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] al-Qadi Yahya Mosque","[*] Antiquities [*] Excavations (Archaeology) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
"[*] Mosque of al-Qadi Yehya [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Qadi Yahya Zayn al-Din Mosque [*] Mosque of al Qadi Yahya [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] al-Qadi Yahya Mosque","[*] Antiquities [*] Excavations (Archaeology) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
"[*] Mosque of al-Qadi Yehya [*] Mosque and Madrasa of al-Qadi Yahya [*] Masjid al-Qadi Yahya, Khalij, Cairo, al-Qahira, Egypt [*] Qadi Yahya Zayn al-Din Mosque [*] Mosque of al Qadi Yahya [*] Masjid wa-Madrasat al-Qadi Yahya [*] Jami' al-Mahkamah [*] al-Qadi Yahya Mosque","[*] Antiquities [*] Excavations (Archaeology) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
"[*] Mosque of al-Qadi Yehya [*] Book of Kings of Selim Khan [*] Mosque and Madrasa of al-Qadi Yahya [*] Sahname-i Selim Khan [*] Mosque of al Qadi Yahya [*] Masjid wa-Madrasat al-Qadi Yahya [*] Shahname-i Selim Khan [*] Shahnama-i Selim Khan (TSK A. 3595)","[*] Antiquities [*] Excavations (Archaeology) [*] miniatures (paintings) Islamic architecture","[*] eng [*] ara [*] English [*] zxx [*] No linguistic content"
